Employee ID,Leave Details,Leave Type,Leave Reason ID,Leave Start Date,Leave End Date,Number of Leave Days Taken,Leave Status,Leave Balance,Cost of Leave ($),Leave Liability Amount ($),Absenteeism Cost Impact ($)
1004,For performing public or civic duties.,Vacation,7,1/5/2024,1/7/2024,2,Approved,15,752.89,1129.34,1505.78
1004,Annual Leave,Annual,9,1/23/2024,1/26/2024,3,Approved,16,1129.34,1694,2258.67
1005,For serious or long-term health issues.,Sick,9,12/22/2019,12/27/2019,5,Approved,27,2450.05,3675.07,4900.09
1005,"For personal growth or development, typically unpaid.","For personal growth or development, typically unpaid.",10,7/21/2019,7/24/2019,3,Rejected,19,1470.03,2205.04,2940.06
1005,For observing religious holidays.,Sick,8,6/26/2019,7/1/2019,5,Rejected,12,2450.05,3675.07,4900.09
1005,Annual Leave,Annual,6,7/17/2019,7/21/2019,4,Approved,20,1960.04,2940.06,3920.07
1005,To serve on a jury as required by law.,Vacation,6,12/16/2020,12/18/2020,2,Rejected,24,980.02,1470.03,1960.04
1005,Annual Leave,Annual,5,1/19/2020,2/7/2020,19,Approved,21,9310.17,13965.26,18620.35
1005,Annual Leave,Annual,8,11/30/2021,12/4/2021,4,Approved,22,1960.04,2940.06,3920.07
1005,For performing public or civic duties.,Sick,7,6/13/2021,6/16/2021,3,Approved,22,1470.03,2205.04,2940.06
1005,Annual Leave,Annual,10,7/3/2021,7/8/2021,5,Rejected,24,2450.05,3675.07,4900.09
1005,For fathers after the birth of a child.,"For personal growth or development, typically unpaid.",1,6/1/2022,6/3/2022,2,Rejected,22,980.02,1470.03,1960.04
1005,Annual Leave,Annual,7,11/26/2022,12/4/2022,8,Rejected,28,3920.07,5880.11,7840.15
1005,For performing public or civic duties.,Sick,7,2/22/2022,3/4/2022,10,Rejected,11,4900.09,7350.14,9800.18
1005,For emergencies or critical family events.,Sick,5,5/31/2022,6/3/2022,3,Rejected,23,1470.03,2205.04,2940.06
1005,For educational pursuits or exams.,"For personal growth or development, typically unpaid.",4,3/7/2023,3/17/2023,10,Approved,19,4900.09,7350.14,9800.18
1005,Annual Leave,Annual,10,3/28/2023,4/11/2023,14,Approved,20,6860.13,10290.19,13720.26
1005,For serious or long-term health issues.,Vacation,9,7/12/2024,7/19/2024,7,Approved,12,3430.06,5145.1,6860.13
1005,For caretaking responsibilities related to a child.,Bereavement,2,11/24/2024,11/28/2024,4,,18,1960.04,2940.06,3920.07
1005,Annual Leave,Annual,10,3/7/2024,3/13/2024,6,Approved,10,2940.06,4410.08,5880.11
1007,To serve on a jury as required by law.,Sick,6,9/20/2022,9/28/2022,8,Rejected,27,2449.46,3674.19,4898.92
1007,For serious or long-term health issues.,Vacation,9,10/27/2023,11/13/2023,17,Approved,17,5205.11,7807.66,10410.22
1007,Annual Leave,Annual,1,5/5/2023,5/8/2023,3,Rejected,20,918.55,1377.82,1837.1
1007,Annual Leave,Annual,9,8/4/2023,8/22/2023,18,Rejected,21,5511.29,8266.94,11022.58
1007,Annual Leave,Annual,4,6/23/2024,6/25/2024,2,Rejected,23,612.37,918.55,1224.73
1007,For emergencies or critical family events.,Vacation,5,1/4/2024,1/9/2024,5,Approved,16,1530.91,2296.37,3061.83
1008,Annual Leave,Annual,9,11/14/2019,11/23/2019,9,Approved,22,2668.9,2668.9,2668.9
1008,Annual Leave,Annual,5,6/2/2020,6/7/2020,5,Rejected,27,1482.72,1482.72,1482.72
1008,Annual Leave,Annual,2,6/29/2020,7/8/2020,9,Approved,28,2668.9,2668.9,2668.9
1008,For caretaking responsibilities related to a child.,Vacation,2,10/22/2021,10/23/2021,1,Rejected,10,296.54,296.54,296.54
1008,For observing religious holidays.,Sick,8,9/9/2021,9/10/2021,1,Approved,12,296.54,296.54,296.54
1008,For serious or long-term health issues.,Vacation,9,2/28/2022,3/6/2022,6,Approved,16,1779.27,1779.27,1779.27
1008,For the death of a family member.,Bereavement,3,10/31/2023,11/8/2023,8,Approved,26,2372.36,2372.36,2372.36
1008,For emergencies or critical family events.,Sick,5,1/21/2023,2/2/2023,12,Approved,15,3558.53,3558.53,3558.53
1008,Annual Leave,Annual,2,6/10/2023,6/14/2023,4,Approved,28,1186.18,1186.18,1186.18
1008,For serious or long-term health issues.,"For personal growth or development, typically unpaid.",9,2/15/2023,2/23/2023,8,Approved,25,2372.36,2372.36,2372.36
1008,Annual Leave,Annual,3,1/27/2024,2/5/2024,9,Rejected,17,2668.9,2668.9,2668.9
1008,Annual Leave,Annual,9,3/3/2024,3/5/2024,2,Rejected,21,593.09,593.09,593.09
1008,For emergencies or critical family events.,"For personal growth or development, typically unpaid.",5,2/14/2024,2/18/2024,4,Rejected,18,1186.18,1186.18,1186.18
1009,For performing public or civic duties.,Vacation,7,8/27/2021,9/1/2021,5,Rejected,12,853.8,853.8,853.8
1009,Annual Leave,Annual,5,9/22/2021,9/25/2021,3,Rejected,11,512.28,512.28,512.28
1009,Annual Leave,Annual,2,10/31/2021,11/6/2021,6,Approved,8,1024.56,1024.56,1024.56
1009,For performing public or civic duties.,"For personal growth or development, typically unpaid.",7,12/10/2022,12/13/2022,3,Rejected,8,512.28,512.28,512.28
1009,Annual Leave,Annual,6,4/12/2023,4/21/2023,9,Approved,13,1536.84,1536.84,1536.84
1009,For emergencies or critical family events.,Sick,5,3/5/2023,3/8/2023,3,Rejected,15,512.28,512.28,512.28
1009,Annual Leave,Annual,1,3/6/2023,3/13/2023,7,Rejected,5,1195.32,1195.32,1195.32
1009,To serve on a jury as required by law.,Sick,6,1/11/2023,1/25/2023,14,Rejected,10,2390.64,2390.64,2390.64
1009,"For personal growth or development, typically unpaid.",Sick,10,3/8/2023,3/13/2023,5,Rejected,9,853.8,853.8,853.8
1009,For the death of a family member.,"For personal growth or development, typically unpaid.",3,8/31/2024,9/6/2024,6,Approved,9,1024.56,1024.56,1024.56
1009,Annual Leave,Annual,7,8/22/2024,8/29/2024,7,Rejected,8,1195.32,1195.32,1195.32
1009,Annual Leave,Annual,5,12/6/2024,12/14/2024,8,,5,1366.08,1366.08,1366.08
1009,For serious or long-term health issues.,"For personal growth or development, typically unpaid.",9,3/11/2024,3/16/2024,5,Rejected,9,853.8,853.8,853.8
1010,Annual Leave,Annual,9,12/7/2020,12/18/2020,11,Approved,23,3230.73,4846.1,6461.47
1010,Annual Leave,Annual,4,12/14/2020,12/21/2020,7,Approved,11,2055.92,3083.88,4111.84
1010,To serve on a jury as required by law.,Vacation,6,12/9/2020,12/14/2020,5,Approved,11,1468.52,2202.77,2937.03
1010,Annual Leave,Annual,8,3/1/2021,3/7/2021,6,Rejected,17,1762.22,2643.33,3524.44
1010,For observing religious holidays.,Sick,8,9/24/2021,10/1/2021,7,Approved,27,2055.92,3083.88,4111.84
1010,To serve on a jury as required by law.,Vacation,6,8/17/2021,8/22/2021,5,Rejected,29,1468.52,2202.77,2937.03
1010,For performing public or civic duties.,Vacation,7,5/2/2021,5/21/2021,19,Rejected,12,5580.36,8370.54,11160.72
1010,Annual Leave,Annual,10,2/6/2021,2/11/2021,5,Rejected,22,1468.52,2202.77,2937.03
1010,For educational pursuits or exams.,Vacation,4,8/24/2022,9/1/2022,8,Approved,28,2349.62,3524.44,4699.25
1010,Annual Leave,Annual,8,6/24/2022,7/8/2022,14,Approved,14,4111.84,6167.76,8223.69
1010,For observing religious holidays.,Vacation,8,4/3/2022,4/4/2022,1,Rejected,15,293.7,440.55,587.41
1010,Annual Leave,Annual,5,7/23/2022,7/31/2022,8,Approved,22,2349.62,3524.44,4699.25
1010,For fathers after the birth of a child.,Vacation,1,11/29/2023,12/2/2023,3,Approved,12,881.11,1321.66,1762.22
1010,Annual Leave,Annual,9,4/8/2023,4/23/2023,15,Approved,28,4405.55,6608.32,8811.09
1010,Annual Leave,Annual,6,9/5/2023,9/8/2023,3,Rejected,25,881.11,1321.66,1762.22
1010,Annual Leave,Annual,1,11/27/2024,12/2/2024,5,,16,1468.52,2202.77,2937.03
1010,"For personal growth or development, typically unpaid.",Vacation,10,5/19/2024,5/29/2024,10,Approved,17,2937.03,4405.55,5874.06
1010,To serve on a jury as required by law.,Sick,6,11/2/2024,11/4/2024,2,Rejected,15,587.41,881.11,1174.81
1010,For serious or long-term health issues.,Bereavement,9,5/19/2024,5/21/2024,2,Rejected,21,587.41,881.11,1174.81
1010,To serve on a jury as required by law.,Sick,6,9/5/2024,9/7/2024,2,Approved,27,587.41,881.11,1174.81
1011,Annual Leave,Annual,10,8/31/2020,9/1/2020,1,Rejected,10,241.27,241.27,241.27
1011,Annual Leave,Annual,2,12/6/2020,12/13/2020,7,Rejected,13,1688.92,1688.92,1688.92
1011,For educational pursuits or exams.,"For personal growth or development, typically unpaid.",4,3/11/2021,3/14/2021,3,Approved,26,723.82,723.82,723.82
1011,Annual Leave,Annual,7,2/27/2021,3/5/2021,6,Approved,13,1447.65,1447.65,1447.65
1011,For observing religious holidays.,Bereavement,8,1/15/2021,1/21/2021,6,Approved,14,1447.65,1447.65,1447.65
1011,For the death of a family member.,Vacation,3,6/3/2021,6/12/2021,9,Approved,21,2171.47,2171.47,2171.47
1011,For educational pursuits or exams.,Vacation,4,7/9/2021,7/20/2021,11,Rejected,21,2654.02,2654.02,2654.02
1011,Annual Leave,Annual,3,5/24/2022,5/29/2022,5,Approved,30,1206.37,1206.37,1206.37
1011,For the death of a family member.,Sick,3,3/20/2022,3/29/2022,9,Rejected,29,2171.47,2171.47,2171.47
1011,For the death of a family member.,Bereavement,3,5/15/2023,5/18/2023,3,Approved,26,723.82,723.82,723.82
1011,Annual Leave,Annual,2,12/6/2024,12/12/2024,6,,22,1447.65,1447.65,1447.65
1011,Annual Leave,Annual,9,9/23/2024,9/28/2024,5,Approved,21,1206.37,1206.37,1206.37
1011,"For personal growth or development, typically unpaid.",Vacation,10,7/4/2024,7/10/2024,6,Rejected,27,1447.65,1447.65,1447.65
1012,Annual Leave,Annual,8,8/21/2022,9/8/2022,18,Approved,29,8131.57,12197.35,16263.14
1012,For educational pursuits or exams.,"For personal growth or development, typically unpaid.",4,10/26/2022,11/1/2022,6,Rejected,13,2710.52,4065.78,5421.05
1012,For serious or long-term health issues.,Sick,9,8/13/2022,8/17/2022,4,Approved,23,1807.02,2710.52,3614.03
1012,For fathers after the birth of a child.,Bereavement,1,10/3/2022,10/4/2022,1,Rejected,12,451.75,677.63,903.51
1012,"For personal growth or development, typically unpaid.",Sick,10,9/23/2023,9/28/2023,5,Approved,26,2258.77,3388.15,4517.54
1012,Annual Leave,Annual,10,10/7/2023,10/12/2023,5,Rejected,25,2258.77,3388.15,4517.54
1012,For performing public or civic duties.,Sick,7,6/17/2023,6/21/2023,4,Approved,20,1807.02,2710.52,3614.03
1012,Annual Leave,Annual,7,12/2/2023,12/8/2023,6,Approved,24,2710.52,4065.78,5421.05
1012,Annual Leave,Annual,4,5/6/2024,5/19/2024,13,Rejected,18,5872.8,8809.2,11745.6
1012,"For personal growth or development, typically unpaid.",Bereavement,10,12/16/2024,12/20/2024,4,,24,1807.02,2710.52,3614.03
1012,For observing religious holidays.,Bereavement,8,6/3/2024,6/15/2024,12,Approved,25,5421.05,8131.57,10842.09
1013,Annual Leave,Annual,3,12/5/2018,12/18/2018,13,Approved,6,2033.39,2033.39,2033.39
1013,Annual Leave,Annual,8,11/17/2018,11/21/2018,4,Rejected,8,625.66,625.66,625.66
1013,Annual Leave,Annual,10,12/1/2018,12/6/2018,5,Approved,6,782.07,782.07,782.07
1013,Annual Leave,Annual,3,12/23/2018,12/28/2018,5,Approved,15,782.07,782.07,782.07
1013,For the death of a family member.,Vacation,3,10/25/2019,11/9/2019,15,Approved,14,2346.22,2346.22,2346.22
1013,Annual Leave,Annual,7,7/23/2019,8/10/2019,18,Approved,6,2815.46,2815.46,2815.46
1013,For educational pursuits or exams.,Vacation,4,6/16/2019,6/23/2019,7,Rejected,9,1094.9,1094.9,1094.9
1013,For fathers after the birth of a child.,Sick,1,8/13/2019,8/14/2019,1,Rejected,13,156.41,156.41,156.41
1013,Annual Leave,Annual,3,11/20/2020,11/23/2020,3,Rejected,12,469.24,469.24,469.24
1013,Annual Leave,Annual,2,4/1/2020,4/20/2020,19,Rejected,6,2971.87,2971.87,2971.87
1013,Annual Leave,Annual,5,4/4/2020,4/8/2020,4,Approved,8,625.66,625.66,625.66
1013,For caretaking responsibilities related to a child.,"For personal growth or development, typically unpaid.",2,8/26/2021,9/6/2021,11,Approved,7,1720.56,1720.56,1720.56
1013,Annual Leave,Annual,9,10/22/2021,11/2/2021,11,Rejected,13,1720.56,1720.56,1720.56
1013,Annual Leave,Annual,4,4/22/2021,4/26/2021,4,Rejected,15,625.66,625.66,625.66
1013,For serious or long-term health issues.,Sick,9,5/23/2021,6/5/2021,13,Approved,10,2033.39,2033.39,2033.39
1013,For emergencies or critical family events.,"For personal growth or development, typically unpaid.",5,3/10/2021,3/19/2021,9,Approved,12,1407.73,1407.73,1407.73
1013,Annual Leave,Annual,4,7/22/2022,8/5/2022,14,Rejected,12,2189.8,2189.8,2189.8
1013,Annual Leave,Annual,3,9/26/2023,10/10/2023,14,Rejected,13,2189.8,2189.8,2189.8
1013,Annual Leave,Annual,7,1/31/2024,2/14/2024,14,Approved,6,2189.8,2189.8,2189.8
1014,Annual Leave,Annual,9,8/1/2018,8/11/2018,10,Rejected,18,2203.44,2203.44,2203.44
1014,For the death of a family member.,Vacation,3,8/16/2018,8/20/2018,4,Approved,30,881.37,881.37,881.37
1014,For caretaking responsibilities related to a child.,Vacation,2,7/7/2018,7/16/2018,9,Approved,10,1983.09,1983.09,1983.09
1014,Annual Leave,Annual,9,3/28/2018,3/30/2018,2,Approved,13,440.69,440.69,440.69
1014,Annual Leave,Annual,1,2/16/2019,2/22/2019,6,Approved,18,1322.06,1322.06,1322.06
1014,For the death of a family member.,Vacation,3,4/6/2019,4/14/2019,8,Rejected,11,1762.75,1762.75,1762.75
1014,For fathers after the birth of a child.,Sick,1,7/14/2019,7/21/2019,7,Approved,13,1542.41,1542.41,1542.41
1014,Annual Leave,Annual,1,6/24/2019,6/29/2019,5,Approved,14,1101.72,1101.72,1101.72
1014,Annual Leave,Annual,8,3/24/2019,3/27/2019,3,Approved,16,661.03,661.03,661.03
1014,Annual Leave,Annual,1,10/20/2020,10/22/2020,2,Approved,26,440.69,440.69,440.69
1014,Annual Leave,Annual,9,7/4/2021,7/12/2021,8,Approved,23,1762.75,1762.75,1762.75
1014,To serve on a jury as required by law.,Sick,6,3/22/2021,3/26/2021,4,Rejected,29,881.37,881.37,881.37
1014,Annual Leave,Annual,4,7/28/2021,8/3/2021,6,Rejected,23,1322.06,1322.06,1322.06
1014,Annual Leave,Annual,1,3/27/2022,4/2/2022,6,Rejected,22,1322.06,1322.06,1322.06
1014,Annual Leave,Annual,6,4/25/2022,4/29/2022,4,Approved,16,881.37,881.37,881.37
1014,For caretaking responsibilities related to a child.,Sick,2,4/27/2022,4/29/2022,2,Rejected,18,440.69,440.69,440.69
1014,To serve on a jury as required by law.,Vacation,6,2/28/2022,3/6/2022,6,Rejected,16,1322.06,1322.06,1322.06
1014,"For personal growth or development, typically unpaid.",Sick,10,7/22/2018,8/5/2018,14,Approved,21,3084.81,3084.81,3084.81
1014,Annual Leave,Annual,8,6/9/2018,6/21/2018,12,Approved,22,2644.12,2644.12,2644.12
1014,"For personal growth or development, typically unpaid.",Bereavement,10,10/13/2019,10/17/2019,4,Approved,13,881.37,881.37,881.37
1014,Annual Leave,Annual,10,2/19/2019,2/25/2019,6,Approved,14,1322.06,1322.06,1322.06
1014,Annual Leave,Annual,7,11/15/2019,11/21/2019,6,Rejected,13,1322.06,1322.06,1322.06
1014,For educational pursuits or exams.,Sick,4,5/29/2019,6/6/2019,8,Approved,28,1762.75,1762.75,1762.75
1014,Annual Leave,Annual,3,11/14/2019,11/19/2019,5,Rejected,14,1101.72,1101.72,1101.72
1014,Annual Leave,Annual,4,2/21/2020,2/27/2020,6,Rejected,27,1322.06,1322.06,1322.06
1014,Annual Leave,Annual,8,11/2/2020,11/7/2020,5,Approved,24,1101.72,1101.72,1101.72
1014,For educational pursuits or exams.,Bereavement,4,11/29/2020,12/4/2020,5,Rejected,18,1101.72,1101.72,1101.72
1014,For fathers after the birth of a child.,Vacation,1,10/4/2020,10/15/2020,11,Approved,10,2423.78,2423.78,2423.78
1014,Annual Leave,Annual,1,12/14/2020,1/1/2021,18,Approved,30,3966.19,3966.19,3966.19
1014,For caretaking responsibilities related to a child.,Vacation,2,6/27/2021,7/1/2021,4,Rejected,13,881.37,881.37,881.37
1014,For the death of a family member.,Sick,3,10/31/2021,11/5/2021,5,Rejected,19,1101.72,1101.72,1101.72
1014,For caretaking responsibilities related to a child.,Sick,2,2/18/2022,2/24/2022,6,Rejected,15,1322.06,1322.06,1322.06
1014,For emergencies or critical family events.,Vacation,5,4/6/2022,4/9/2022,3,Rejected,10,661.03,661.03,661.03
1014,Annual Leave,Annual,9,3/24/2022,4/6/2022,13,Approved,28,2864.47,2864.47,2864.47
1015,For observing religious holidays.,Bereavement,8,11/1/2019,11/2/2019,1,Rejected,10,201.79,201.79,201.79
1015,For educational pursuits or exams.,Bereavement,4,11/24/2019,11/25/2019,1,Rejected,20,201.79,201.79,201.79
1015,Annual Leave,Annual,10,12/16/2019,12/31/2019,15,Rejected,18,3026.79,3026.79,3026.79
1015,Annual Leave,Annual,9,10/8/2019,10/18/2019,10,Rejected,13,2017.86,2017.86,2017.86
1015,Annual Leave,Annual,9,9/2/2020,9/4/2020,2,Rejected,22,403.57,403.57,403.57
1015,For observing religious holidays.,Sick,8,2/15/2020,2/21/2020,6,Rejected,19,1210.71,1210.71,1210.71
1015,Annual Leave,Annual,4,8/20/2020,8/30/2020,10,Approved,14,2017.86,2017.86,2017.86
1015,For fathers after the birth of a child.,"For personal growth or development, typically unpaid.",1,3/19/2020,3/21/2020,2,Approved,21,403.57,403.57,403.57
1015,"For personal growth or development, typically unpaid.",Vacation,10,12/24/2021,12/28/2021,4,Approved,29,807.14,807.14,807.14
1015,Annual Leave,Annual,5,2/11/2021,2/12/2021,1,Approved,30,201.79,201.79,201.79
1015,For emergencies or critical family events.,Bereavement,5,8/31/2021,9/9/2021,9,Rejected,30,1816.07,1816.07,1816.07
1015,For fathers after the birth of a child.,"For personal growth or development, typically unpaid.",1,10/29/2021,11/2/2021,4,Approved,27,807.14,807.14,807.14
1015,Annual Leave,Annual,9,10/8/2021,10/13/2021,5,Approved,30,1008.93,1008.93,1008.93
1015,For caretaking responsibilities related to a child.,Sick,2,3/30/2022,4/4/2022,5,Rejected,26,1008.93,1008.93,1008.93
1015,"For personal growth or development, typically unpaid.",Vacation,10,1/9/2022,1/16/2022,7,Rejected,24,1412.5,1412.5,1412.5
1015,For fathers after the birth of a child.,Bereavement,1,1/5/2022,1/15/2022,10,Rejected,23,2017.86,2017.86,2017.86
1015,Annual Leave,Annual,9,9/28/2019,10/3/2019,5,Approved,10,1008.93,1008.93,1008.93
1015,Annual Leave,Annual,10,11/9/2019,11/11/2019,2,Approved,27,403.57,403.57,403.57
1015,Annual Leave,Annual,2,4/24/2020,5/5/2020,11,Rejected,30,2219.64,2219.64,2219.64
1015,For educational pursuits or exams.,Vacation,4,12/18/2020,12/25/2020,7,Rejected,13,1412.5,1412.5,1412.5
1015,Annual Leave,Annual,7,6/6/2021,6/9/2021,3,Approved,26,605.36,605.36,605.36
1015,Annual Leave,Annual,5,11/12/2021,11/26/2021,14,Rejected,15,2825,2825,2825
1015,For emergencies or critical family events.,Bereavement,5,12/18/2021,12/23/2021,5,Approved,29,1008.93,1008.93,1008.93
1015,Annual Leave,Annual,5,4/22/2022,4/26/2022,4,Approved,29,807.14,807.14,807.14
