Training Session ID,Training Name,Training Type,Duration Hours
173,Coaching and Mentoring,Leadership,60
174,Leadership Essentials,Leadership,4
175,Strategic Planning,Leadership,8
176,Financial Compliance,Compliance,2
177,Data Privacy and Security,Compliance,4
178,Project Management Software Training,Technical,2
179,Coaching and Mentoring,Leadership,4
180,Cybersecurity Basics,Technical,16
181,Advanced Excel,Technical,4
182,Financial Compliance,Compliance,32
183,Customer Service Excellence,Skill Development,40
184,Time Management,Skill Development,4
185,Problem Solving,Skill Development,32
186,Leadership Essentials,Leadership,2
187,Diversity and Inclusion,Compliance,16
188,Data Privacy and Security,Compliance,4
189,Code of Conduct,Compliance,4
190,Team Building,Leadership,4
191,Leadership Essentials,Leadership,8
192,Anti-Harassment Training,Compliance,32
193,Conflict Resolution,Leadership,2
194,Advanced Excel,Technical,8
195,Advanced Excel,Technical,2
196,Creative Thinking,Skill Development,16
197,Communication Skills,Skill Development,8
198,Communication Skills,Skill Development,32
199,Cybersecurity Basics,Technical,32
200,Project Management Software Training,Technical,8
201,Cloud Computing Essentials,Technical,40
202,Code of Conduct,Compliance,2
203,Negotiation Skills,Skill Development,2
204,Problem Solving,Skill Development,32
205,Time Management,Skill Development,60
206,Data Privacy and Security,Compliance,60
207,Time Management,Skill Development,32
208,SQL for Data Management,Technical,4
209,Time Management,Skill Development,40
210,Team Building,Leadership,2
211,Advanced Excel,Technical,4
212,Creative Thinking,Skill Development,8
213,Cybersecurity Basics,Technical,60
214,Advanced Excel,Technical,8
215,Leadership Essentials,Leadership,4
216,SQL for Data Management,Technical,16
217,Communication Skills,Skill Development,2
218,SQL for Data Management,Technical,8
219,Code of Conduct,Compliance,4
220,Data Privacy and Security,Compliance,4
221,Workplace Safety,Compliance,40
222,Conflict Resolution,Leadership,8
223,Workplace Safety,Compliance,32
224,Coaching and Mentoring,Leadership,32
225,Creative Thinking,Skill Development,16
226,Strategic Planning,Leadership,2
227,Financial Compliance,Compliance,2
228,Customer Service Excellence,Skill Development,32
229,Workplace Safety,Compliance,32
230,Leadership Essentials,Leadership,16
231,Data Analysis with Python,Technical,16
232,Cloud Computing Essentials,Technical,40
233,Project Management Software Training,Technical,4
234,Strategic Planning,Leadership,2
235,Advanced Excel,Technical,32
236,Data Privacy and Security,Compliance,4
237,Customer Service Excellence,Skill Development,2
238,Communication Skills,Skill Development,60
239,Team Building,Leadership,8
240,Problem Solving,Skill Development,8
241,Problem Solving,Skill Development,2
242,Negotiation Skills,Skill Development,4
243,Problem Solving,Skill Development,32
244,Diversity and Inclusion,Compliance,40
245,Conflict Resolution,Leadership,16
246,Data Analysis with Python,Technical,32
247,Diversity and Inclusion,Compliance,4
248,Negotiation Skills,Skill Development,40
249,Strategic Planning,Leadership,2
250,Cybersecurity Basics,Technical,40
251,Team Building,Leadership,4
252,Negotiation Skills,Skill Development,40
253,Communication Skills,Skill Development,32
254,Time Management,Skill Development,8
255,Data Analysis with Python,Technical,4
256,Code of Conduct,Compliance,40
257,Anti-Harassment Training,Compliance,40
258,Problem Solving,Skill Development,60
259,Project Management Software Training,Technical,32
260,Time Management,Skill Development,4
261,Advanced Excel,Technical,8
262,Cybersecurity Basics,Technical,8
263,Project Management Software Training,Technical,60
264,Emotional Intelligence,Leadership,60
265,Advanced Excel,Technical,40
266,Workplace Safety,Compliance,2
267,Data Analysis with Python,Technical,2
268,Diversity and Inclusion,Compliance,40
269,Cybersecurity Basics,Technical,40
270,Data Privacy and Security,Compliance,8
271,Coaching and Mentoring,Leadership,60
272,Communication Skills,Skill Development,4
273,Leadership Essentials,Leadership,32
274,Advanced Excel,Technical,2
275,Emotional Intelligence,Leadership,2
276,Advanced Excel,Technical,4
277,Communication Skills,Skill Development,60
278,Communication Skills,Skill Development,16
279,Cybersecurity Basics,Technical,32
280,Anti-Harassment Training,Compliance,8
281,Diversity and Inclusion,Compliance,8
282,Problem Solving,Skill Development,4
283,Problem Solving,Skill Development,32
284,Time Management,Skill Development,60
285,Code of Conduct,Compliance,16
286,Cybersecurity Basics,Technical,60
287,Negotiation Skills,Skill Development,16
288,Time Management,Skill Development,2
289,Financial Compliance,Compliance,40
290,Coaching and Mentoring,Leadership,16
291,Data Privacy and Security,Compliance,60
292,Anti-Harassment Training,Compliance,2
293,Customer Service Excellence,Skill Development,4
294,Customer Service Excellence,Skill Development,4
295,Financial Compliance,Compliance,60
296,Strategic Planning,Leadership,60
297,Financial Compliance,Compliance,2
298,Creative Thinking,Skill Development,4
299,Leadership Essentials,Leadership,8
300,Data Privacy and Security,Compliance,40
301,Cybersecurity Basics,Technical,16
302,Emotional Intelligence,Leadership,2
303,Strategic Planning,Leadership,4
304,Code of Conduct,Compliance,2
305,Data Analysis with Python,Technical,4
306,Emotional Intelligence,Leadership,60
307,Negotiation Skills,Skill Development,16
308,Workplace Safety,Compliance,32
309,Emotional Intelligence,Leadership,16
310,Negotiation Skills,Skill Development,60
311,Problem Solving,Skill Development,4
312,Leadership Essentials,Leadership,40
313,Customer Service Excellence,Skill Development,40
314,Project Management Software Training,Technical,16
315,Cybersecurity Basics,Technical,40
316,Customer Service Excellence,Skill Development,4
317,Diversity and Inclusion,Compliance,40
318,Leadership Essentials,Leadership,2
319,Project Management Software Training,Technical,60
320,Code of Conduct,Compliance,2
321,Cybersecurity Basics,Technical,16
322,Cybersecurity Basics,Technical,16
323,Negotiation Skills,Skill Development,40
324,Financial Compliance,Compliance,2
325,Leadership Essentials,Leadership,60
326,Financial Compliance,Compliance,2
327,Team Building,Leadership,4
328,Negotiation Skills,Skill Development,8
329,Cybersecurity Basics,Technical,4
330,Cybersecurity Basics,Technical,8
331,Project Management Software Training,Technical,16
332,Diversity and Inclusion,Compliance,8
333,Negotiation Skills,Skill Development,32
334,Negotiation Skills,Skill Development,8
335,Code of Conduct,Compliance,32
336,Creative Thinking,Skill Development,2
337,Conflict Resolution,Leadership,32
338,Communication Skills,Skill Development,8
339,Communication Skills,Skill Development,4
340,Conflict Resolution,Leadership,8
341,Customer Service Excellence,Skill Development,40
342,SQL for Data Management,Technical,16
343,Negotiation Skills,Skill Development,40
344,Diversity and Inclusion,Compliance,32
345,Project Management Software Training,Technical,40
346,Leadership Essentials,Leadership,8
347,Cloud Computing Essentials,Technical,32
348,Conflict Resolution,Leadership,8
349,Data Analysis with Python,Technical,60
350,Conflict Resolution,Leadership,4
351,Diversity and Inclusion,Compliance,4
352,Workplace Safety,Compliance,4
353,Project Management Software Training,Technical,4
354,Communication Skills,Skill Development,4
355,Diversity and Inclusion,Compliance,16
356,Workplace Safety,Compliance,40
357,Problem Solving,Skill Development,32
358,Emotional Intelligence,Leadership,2
359,Customer Service Excellence,Skill Development,40
360,Advanced Excel,Technical,40
361,Communication Skills,Skill Development,8
362,Customer Service Excellence,Skill Development,16
363,Anti-Harassment Training,Compliance,2
364,Problem Solving,Skill Development,40
365,Advanced Excel,Technical,60
366,Code of Conduct,Compliance,32
367,SQL for Data Management,Technical,16
368,Cloud Computing Essentials,Technical,4
369,Anti-Harassment Training,Compliance,40
370,Advanced Excel,Technical,40
371,Negotiation Skills,Skill Development,16
372,Financial Compliance,Compliance,4
373,Data Privacy and Security,Compliance,40
374,Anti-Harassment Training,Compliance,32
375,SQL for Data Management,Technical,16
376,Cybersecurity Basics,Technical,2
377,Advanced Excel,Technical,2
378,Team Building,Leadership,4
379,Data Privacy and Security,Compliance,32
380,Project Management Software Training,Technical,40
381,Workplace Safety,Compliance,40
382,Code of Conduct,Compliance,4
383,Conflict Resolution,Leadership,8
384,Emotional Intelligence,Leadership,16
385,Strategic Planning,Leadership,16
386,Financial Compliance,Compliance,32
387,Problem Solving,Skill Development,4
388,Customer Service Excellence,Skill Development,32
389,Leadership Essentials,Leadership,4
390,Time Management,Skill Development,40
391,Project Management Software Training,Technical,8
392,Coaching and Mentoring,Leadership,4
393,Communication Skills,Skill Development,16
394,Problem Solving,Skill Development,32
395,Project Management Software Training,Technical,40
396,Leadership Essentials,Leadership,8
397,Code of Conduct,Compliance,40
398,Cybersecurity Basics,Technical,8
399,Diversity and Inclusion,Compliance,2
400,SQL for Data Management,Technical,16
401,Data Analysis with Python,Technical,2
402,Conflict Resolution,Leadership,60
403,Financial Compliance,Compliance,4
404,Code of Conduct,Compliance,60
405,Anti-Harassment Training,Compliance,40
406,Cybersecurity Basics,Technical,32
407,Anti-Harassment Training,Compliance,40
408,Financial Compliance,Compliance,8
409,Creative Thinking,Skill Development,2
410,Data Privacy and Security,Compliance,32
411,Time Management,Skill Development,32
412,Creative Thinking,Skill Development,60
413,Negotiation Skills,Skill Development,16
414,Emotional Intelligence,Leadership,40
415,Cybersecurity Basics,Technical,2
416,Code of Conduct,Compliance,8
417,SQL for Data Management,Technical,60
418,Problem Solving,Skill Development,2
419,Communication Skills,Skill Development,8
420,Leadership Essentials,Leadership,60
421,Time Management,Skill Development,60
422,Leadership Essentials,Leadership,32
423,Data Privacy and Security,Compliance,4
424,Time Management,Skill Development,4
425,Coaching and Mentoring,Leadership,8
426,Communication Skills,Skill Development,60
427,Project Management Software Training,Technical,32
428,Leadership Essentials,Leadership,32
429,Financial Compliance,Compliance,8
430,Code of Conduct,Compliance,60
431,Coaching and Mentoring,Leadership,2
432,Leadership Essentials,Leadership,32
433,Leadership Essentials,Leadership,4
434,Code of Conduct,Compliance,32
435,Customer Service Excellence,Skill Development,4
436,Cybersecurity Basics,Technical,2
437,Communication Skills,Skill Development,32
438,Team Building,Leadership,16
439,Time Management,Skill Development,8
440,Conflict Resolution,Leadership,32
441,Team Building,Leadership,16
442,Communication Skills,Skill Development,16
443,Project Management Software Training,Technical,60
444,Communication Skills,Skill Development,4
445,Cybersecurity Basics,Technical,32
446,Anti-Harassment Training,Compliance,8
447,Coaching and Mentoring,Leadership,2
448,Strategic Planning,Leadership,32
449,Advanced Excel,Technical,2
450,Leadership Essentials,Leadership,4
451,Data Analysis with Python,Technical,8
452,Emotional Intelligence,Leadership,2
453,SQL for Data Management,Technical,40
454,Problem Solving,Skill Development,8
455,Customer Service Excellence,Skill Development,2
456,Strategic Planning,Leadership,60
457,Problem Solving,Skill Development,8
458,Conflict Resolution,Leadership,4
459,Cloud Computing Essentials,Technical,60
460,Leadership Essentials,Leadership,32
461,Cloud Computing Essentials,Technical,60
462,Data Analysis with Python,Technical,16
463,Cloud Computing Essentials,Technical,60
464,Problem Solving,Skill Development,2
465,Advanced Excel,Technical,4
466,Negotiation Skills,Skill Development,40
467,Time Management,Skill Development,60
468,Diversity and Inclusion,Compliance,8
469,Diversity and Inclusion,Compliance,8
470,Negotiation Skills,Skill Development,16
471,Workplace Safety,Compliance,32
472,Workplace Safety,Compliance,16
473,Anti-Harassment Training,Compliance,16
474,Problem Solving,Skill Development,4
475,Strategic Planning,Leadership,4
476,Negotiation Skills,Skill Development,8
477,Strategic Planning,Leadership,16
478,Emotional Intelligence,Leadership,4
479,Diversity and Inclusion,Compliance,8
480,Coaching and Mentoring,Leadership,16
481,Cybersecurity Basics,Technical,2
482,Workplace Safety,Compliance,8
483,Cybersecurity Basics,Technical,40
484,Project Management Software Training,Technical,60
485,Cloud Computing Essentials,Technical,40
486,Workplace Safety,Compliance,4
487,Code of Conduct,Compliance,8
488,Cloud Computing Essentials,Technical,40
489,Anti-Harassment Training,Compliance,40
490,Cybersecurity Basics,Technical,16
491,Project Management Software Training,Technical,60
492,Negotiation Skills,Skill Development,4
493,Code of Conduct,Compliance,32
494,Anti-Harassment Training,Compliance,32
495,Cloud Computing Essentials,Technical,60
496,Financial Compliance,Compliance,8
497,Advanced Excel,Technical,4
498,Conflict Resolution,Leadership,40
499,Cybersecurity Basics,Technical,32
500,Project Management Software Training,Technical,32
501,SQL for Data Management,Technical,16
502,Communication Skills,Skill Development,32
503,Code of Conduct,Compliance,16
504,Coaching and Mentoring,Leadership,2
505,Conflict Resolution,Leadership,16
506,Problem Solving,Skill Development,32
507,Anti-Harassment Training,Compliance,32
508,Communication Skills,Skill Development,4
509,Customer Service Excellence,Skill Development,60
510,Leadership Essentials,Leadership,40
511,Cybersecurity Basics,Technical,60
512,Strategic Planning,Leadership,2
513,SQL for Data Management,Technical,32
514,Negotiation Skills,Skill Development,32
515,Cybersecurity Basics,Technical,32
516,Advanced Excel,Technical,2
517,Negotiation Skills,Skill Development,32
518,Advanced Excel,Technical,8
519,Negotiation Skills,Skill Development,8
520,SQL for Data Management,Technical,4
521,Team Building,Leadership,60
522,Customer Service Excellence,Skill Development,4
523,Cloud Computing Essentials,Technical,4
524,Advanced Excel,Technical,8
525,Conflict Resolution,Leadership,2
526,Problem Solving,Skill Development,60
527,Anti-Harassment Training,Compliance,40
528,Project Management Software Training,Technical,4
529,Code of Conduct,Compliance,8
530,Diversity and Inclusion,Compliance,8
531,Workplace Safety,Compliance,40
532,Project Management Software Training,Technical,32
533,Customer Service Excellence,Skill Development,4
534,Coaching and Mentoring,Leadership,60
535,Cybersecurity Basics,Technical,2
536,Conflict Resolution,Leadership,32
537,Cloud Computing Essentials,Technical,4
538,Workplace Safety,Compliance,60
539,Coaching and Mentoring,Leadership,2
540,Emotional Intelligence,Leadership,60
541,Time Management,Skill Development,16
542,Project Management Software Training,Technical,40
543,Conflict Resolution,Leadership,40
544,Project Management Software Training,Technical,16
545,Negotiation Skills,Skill Development,32
546,Negotiation Skills,Skill Development,32
547,Customer Service Excellence,Skill Development,4
548,Anti-Harassment Training,Compliance,40
549,Cloud Computing Essentials,Technical,32
550,Coaching and Mentoring,Leadership,40
551,Emotional Intelligence,Leadership,2
552,Advanced Excel,Technical,2
553,Conflict Resolution,Leadership,32
554,Project Management Software Training,Technical,40
555,Negotiation Skills,Skill Development,32
556,Financial Compliance,Compliance,40
557,Code of Conduct,Compliance,2
558,Team Building,Leadership,32
559,Cloud Computing Essentials,Technical,16
560,Team Building,Leadership,2
561,Customer Service Excellence,Skill Development,40
562,Project Management Software Training,Technical,40
563,Project Management Software Training,Technical,4
564,Advanced Excel,Technical,60
565,Anti-Harassment Training,Compliance,40
566,Time Management,Skill Development,16
567,Anti-Harassment Training,Compliance,60
568,Problem Solving,Skill Development,32
569,Negotiation Skills,Skill Development,8
570,Cybersecurity Basics,Technical,16
571,Emotional Intelligence,Leadership,60
572,Data Analysis with Python,Technical,2
573,Problem Solving,Skill Development,40
574,Communication Skills,Skill Development,60
575,Problem Solving,Skill Development,16
576,Anti-Harassment Training,Compliance,4
577,Cybersecurity Basics,Technical,16
578,Conflict Resolution,Leadership,40
579,Problem Solving,Skill Development,2
580,Problem Solving,Skill Development,32
581,Negotiation Skills,Skill Development,16
582,Team Building,Leadership,2
583,Customer Service Excellence,Skill Development,2
584,Conflict Resolution,Leadership,16
585,Data Privacy and Security,Compliance,40
586,Advanced Excel,Technical,8
587,Communication Skills,Skill Development,40
588,Code of Conduct,Compliance,32
589,Anti-Harassment Training,Compliance,2
590,Team Building,Leadership,2
591,Cloud Computing Essentials,Technical,32
592,SQL for Data Management,Technical,8
593,Time Management,Skill Development,32
594,Leadership Essentials,Leadership,60
595,Cloud Computing Essentials,Technical,32
596,Project Management Software Training,Technical,16
597,Code of Conduct,Compliance,60
598,Customer Service Excellence,Skill Development,8
599,Cloud Computing Essentials,Technical,16
600,Customer Service Excellence,Skill Development,32
601,Code of Conduct,Compliance,8
602,Cloud Computing Essentials,Technical,2
603,Emotional Intelligence,Leadership,40
604,Workplace Safety,Compliance,4
605,Conflict Resolution,Leadership,8
606,Cybersecurity Basics,Technical,8
607,Coaching and Mentoring,Leadership,8
608,Customer Service Excellence,Skill Development,16
609,Leadership Essentials,Leadership,8
610,Conflict Resolution,Leadership,60
611,Conflict Resolution,Leadership,40
612,Time Management,Skill Development,16
613,Advanced Excel,Technical,8
614,Time Management,Skill Development,60
615,Communication Skills,Skill Development,2
616,Emotional Intelligence,Leadership,32
617,Financial Compliance,Compliance,8
618,Cybersecurity Basics,Technical,4
619,Conflict Resolution,Leadership,4
620,Negotiation Skills,Skill Development,40
621,Creative Thinking,Skill Development,40
622,Strategic Planning,Leadership,8
623,SQL for Data Management,Technical,2
624,Strategic Planning,Leadership,8
625,Data Privacy and Security,Compliance,60
626,Data Privacy and Security,Compliance,16
627,Creative Thinking,Skill Development,32
628,Anti-Harassment Training,Compliance,4
629,Workplace Safety,Compliance,8
630,Cloud Computing Essentials,Technical,8
631,Emotional Intelligence,Leadership,40
632,Team Building,Leadership,40
633,Negotiation Skills,Skill Development,32
634,Negotiation Skills,Skill Development,40
635,Workplace Safety,Compliance,16
636,Strategic Planning,Leadership,8
637,Time Management,Skill Development,40
638,SQL for Data Management,Technical,8
639,Data Privacy and Security,Compliance,32
640,Leadership Essentials,Leadership,4
641,Data Privacy and Security,Compliance,4
642,Creative Thinking,Skill Development,16
643,Conflict Resolution,Leadership,60
644,Workplace Safety,Compliance,8
645,Time Management,Skill Development,16
646,Cybersecurity Basics,Technical,2
647,Project Management Software Training,Technical,2
648,Customer Service Excellence,Skill Development,8
649,Financial Compliance,Compliance,40
650,Emotional Intelligence,Leadership,40
651,Cloud Computing Essentials,Technical,32
652,Communication Skills,Skill Development,8
653,Coaching and Mentoring,Leadership,16
654,Code of Conduct,Compliance,16
655,Communication Skills,Skill Development,32
656,Cybersecurity Basics,Technical,8
657,Creative Thinking,Skill Development,2
658,Leadership Essentials,Leadership,60
659,Conflict Resolution,Leadership,8
660,Diversity and Inclusion,Compliance,32
661,Communication Skills,Skill Development,8
662,Problem Solving,Skill Development,2
663,Creative Thinking,Skill Development,32
664,Problem Solving,Skill Development,16
665,Anti-Harassment Training,Compliance,2
666,Conflict Resolution,Leadership,8
667,Negotiation Skills,Skill Development,4
668,Anti-Harassment Training,Compliance,40
669,SQL for Data Management,Technical,32
670,Emotional Intelligence,Leadership,40
671,Negotiation Skills,Skill Development,2
672,Negotiation Skills,Skill Development,60
673,Advanced Excel,Technical,2
674,Communication Skills,Skill Development,32
675,Creative Thinking,Skill Development,8
676,Time Management,Skill Development,40
677,Communication Skills,Skill Development,16
678,Data Privacy and Security,Compliance,60
679,Cybersecurity Basics,Technical,2
680,Team Building,Leadership,4
681,Conflict Resolution,Leadership,2
682,Strategic Planning,Leadership,32
683,Team Building,Leadership,16
684,Creative Thinking,Skill Development,40
685,Conflict Resolution,Leadership,4
686,Time Management,Skill Development,40
687,Code of Conduct,Compliance,32
688,Emotional Intelligence,Leadership,60
689,Coaching and Mentoring,Leadership,4
690,Negotiation Skills,Skill Development,32
691,Cybersecurity Basics,Technical,40
692,Leadership Essentials,Leadership,60
693,Cybersecurity Basics,Technical,4
694,Diversity and Inclusion,Compliance,40
695,SQL for Data Management,Technical,60
696,Advanced Excel,Technical,16
697,Strategic Planning,Leadership,16
698,SQL for Data Management,Technical,32
699,SQL for Data Management,Technical,16
700,Team Building,Leadership,4
701,SQL for Data Management,Technical,16
702,Customer Service Excellence,Skill Development,16
703,Advanced Excel,Technical,2
704,Creative Thinking,Skill Development,32
705,Code of Conduct,Compliance,40
706,Project Management Software Training,Technical,2
707,Time Management,Skill Development,40
708,Customer Service Excellence,Skill Development,60
709,SQL for Data Management,Technical,32
710,Time Management,Skill Development,16
711,Advanced Excel,Technical,2
712,Time Management,Skill Development,16
713,Anti-Harassment Training,Compliance,60
714,Advanced Excel,Technical,32
715,Workplace Safety,Compliance,32
716,Customer Service Excellence,Skill Development,4
717,Coaching and Mentoring,Leadership,60
718,Creative Thinking,Skill Development,4
719,Advanced Excel,Technical,16
720,Strategic Planning,Leadership,60
721,Negotiation Skills,Skill Development,32
722,Cloud Computing Essentials,Technical,4
723,Diversity and Inclusion,Compliance,16
724,Cloud Computing Essentials,Technical,60
725,Diversity and Inclusion,Compliance,32
726,SQL for Data Management,Technical,60
727,SQL for Data Management,Technical,32
728,Conflict Resolution,Leadership,4
729,Code of Conduct,Compliance,16
730,Cybersecurity Basics,Technical,16
731,Problem Solving,Skill Development,32
732,SQL for Data Management,Technical,32
733,Workplace Safety,Compliance,16
734,Communication Skills,Skill Development,4
735,Communication Skills,Skill Development,4
736,SQL for Data Management,Technical,32
737,Workplace Safety,Compliance,16
738,Workplace Safety,Compliance,40
739,Strategic Planning,Leadership,40
740,Advanced Excel,Technical,16
741,Strategic Planning,Leadership,32
742,Conflict Resolution,Leadership,32
743,SQL for Data Management,Technical,40
744,Financial Compliance,Compliance,4
745,Negotiation Skills,Skill Development,32
746,Project Management Software Training,Technical,16
747,Negotiation Skills,Skill Development,4
748,Customer Service Excellence,Skill Development,60
749,Diversity and Inclusion,Compliance,4
750,Emotional Intelligence,Leadership,4
751,Project Management Software Training,Technical,16
752,Code of Conduct,Compliance,60
753,Strategic Planning,Leadership,32
754,Cloud Computing Essentials,Technical,60
755,Advanced Excel,Technical,60
756,Communication Skills,Skill Development,60
757,Project Management Software Training,Technical,40
758,Communication Skills,Skill Development,32
759,Cloud Computing Essentials,Technical,32
760,Creative Thinking,Skill Development,4
761,Team Building,Leadership,16
762,SQL for Data Management,Technical,4
763,Financial Compliance,Compliance,40
764,Cybersecurity Basics,Technical,32
765,Creative Thinking,Skill Development,2
766,Creative Thinking,Skill Development,16
767,Team Building,Leadership,2
768,Customer Service Excellence,Skill Development,8
769,Emotional Intelligence,Leadership,4
770,Problem Solving,Skill Development,40
771,Leadership Essentials,Leadership,4
772,Workplace Safety,Compliance,60
773,Strategic Planning,Leadership,32
774,Project Management Software Training,Technical,16
775,Strategic Planning,Leadership,40
776,Diversity and Inclusion,Compliance,2
777,Code of Conduct,Compliance,2
778,Code of Conduct,Compliance,2
779,Creative Thinking,Skill Development,40
