Employee ID,Year,Performance Feedback ID,Goal Clarity,Support for Goals,Manager Feedback Effectiveness,Team Collaboration Score,Additional Support Needed,Career Growth Satisfaction,Overall Performance Rating
1043,2021,154,Yes,No,1,2,More training resources,Yes,2
1044,2021,155,Yes,Yes,4,4,More training resources,No,4
1044,2022,156,No,No,5,5,Better communication from management,No,4
1044,2023,157,Yes,Yes,1,2,Better communication from management,No,5
1045,2022,158,No,Yes,4,2,More training resources,Yes,3
1045,2023,159,No,Yes,1,3,More team collaboration opportunities,No,2
1046,2019,160,No,No,2,4,Better communication from management,No,2
1046,2020,161,No,No,1,2,Improved work-life balance,No,3
1046,2021,162,Yes,Yes,4,5,More career growth opportunities,No,1
1046,2022,163,No,Yes,4,5,More training resources,No,2
1046,2023,164,No,No,2,2,Better communication from management,No,3
1047,2018,165,No,Yes,4,3,Better communication from management,No,1
1047,2019,166,Yes,No,1,2,More team collaboration opportunities,Yes,3
1047,2020,167,Yes,No,5,3,More team collaboration opportunities,Yes,3
1047,2021,168,No,No,1,5,More team collaboration opportunities,No,3
1047,2022,169,No,No,2,2,More team collaboration opportunities,Yes,3
1047,2023,170,No,No,5,5,More team collaboration opportunities,No,2
1048,2019,171,No,No,5,4,Better communication from management,No,5
1048,2020,172,Yes,Yes,4,1,Improved work-life balance,No,1
1048,2021,173,No,Yes,2,3,Better communication from management,No,3
1048,2022,174,No,Yes,3,1,More training resources,Yes,1
1048,2023,175,No,Yes,4,1,More team collaboration opportunities,No,4
1049,2018,176,Yes,Yes,3,4,More training resources,Yes,2
1049,2019,177,Yes,Yes,2,2,Better communication from management,Yes,2
1049,2020,178,Yes,Yes,3,2,Better communication from management,Yes,2
1049,2021,179,No,No,3,5,More team collaboration opportunities,No,1
1049,2022,180,No,Yes,2,2,More team collaboration opportunities,No,4
1049,2023,181,No,No,1,1,More training resources,No,4
1050,2020,182,No,No,4,3,Improved work-life balance,No,4
1050,2021,183,Yes,No,5,5,Better communication from management,Yes,5
1050,2022,184,Yes,Yes,1,3,More career growth opportunities,Yes,3
1050,2023,185,Yes,Yes,4,4,More team collaboration opportunities,No,3
1051,2019,186,No,No,2,5,More team collaboration opportunities,No,2
1051,2020,187,No,No,1,3,Improved work-life balance,No,5
1051,2021,188,No,Yes,1,3,More career growth opportunities,Yes,3
1051,2022,189,No,No,3,4,Improved work-life balance,No,3
1051,2023,190,No,Yes,2,2,More career growth opportunities,No,1
1052,2020,191,No,Yes,5,4,Improved work-life balance,No,4
1052,2021,192,Yes,No,5,1,More career growth opportunities,Yes,1
1052,2022,193,No,No,3,4,Better communication from management,Yes,1
1052,2023,194,No,No,1,2,More team collaboration opportunities,No,3
1053,2022,195,Yes,No,1,4,More career growth opportunities,Yes,5
1053,2023,196,Yes,No,3,5,Improved work-life balance,No,5
1054,2021,197,No,No,4,4,More career growth opportunities,No,3
1054,2022,198,Yes,Yes,4,5,More team collaboration opportunities,No,2
1054,2023,199,Yes,Yes,5,1,Better communication from management,No,1
1056,2022,200,No,No,4,1,More career growth opportunities,No,1
1056,2023,201,No,No,4,1,More team collaboration opportunities,Yes,3
1057,2022,202,Yes,Yes,1,1,More training resources,Yes,2
1057,2023,203,Yes,No,5,2,More team collaboration opportunities,Yes,2
1059,2021,204,Yes,Yes,3,2,Improved work-life balance,Yes,3
1059,2022,205,Yes,No,3,1,More team collaboration opportunities,No,5
1059,2023,206,No,No,2,4,More career growth opportunities,Yes,1
1060,2020,207,Yes,No,5,2,More team collaboration opportunities,Yes,4
1060,2021,208,Yes,No,5,5,Better communication from management,Yes,3
1060,2022,209,Yes,Yes,4,1,More training resources,No,1
1060,2023,210,Yes,Yes,2,2,Improved work-life balance,Yes,3
1061,2018,211,Yes,Yes,5,5,More career growth opportunities,Yes,4
1061,2019,212,No,No,2,3,More training resources,Yes,3
1061,2020,213,Yes,Yes,4,5,More team collaboration opportunities,No,5
1061,2021,214,Yes,Yes,4,1,Improved work-life balance,Yes,1
1061,2022,215,No,Yes,3,3,Better communication from management,Yes,3
1061,2023,216,No,Yes,2,4,More team collaboration opportunities,Yes,1
1062,2022,217,Yes,Yes,1,5,Improved work-life balance,No,5
1062,2023,218,Yes,No,3,2,More training resources,No,1
1063,2021,219,Yes,No,4,1,More team collaboration opportunities,No,5
1063,2022,220,Yes,No,3,2,More training resources,Yes,5
1063,2023,221,No,Yes,1,2,More training resources,Yes,3
1064,2021,222,No,Yes,1,5,Improved work-life balance,No,1
1064,2022,223,No,No,5,1,More team collaboration opportunities,Yes,3
1064,2023,224,No,No,4,5,Better communication from management,Yes,2
1065,2021,225,No,No,1,2,More career growth opportunities,No,1
1065,2022,226,No,Yes,2,3,More career growth opportunities,No,2
1065,2023,227,No,No,5,4,Improved work-life balance,No,5
1066,2019,228,No,No,4,3,Better communication from management,No,5
1066,2020,229,No,Yes,2,2,More training resources,No,5
1066,2021,230,Yes,No,5,5,Better communication from management,Yes,2
1066,2022,231,No,No,1,5,More training resources,Yes,4
1066,2023,232,Yes,Yes,4,5,Better communication from management,No,3
1067,2021,233,Yes,Yes,4,2,More team collaboration opportunities,No,4
1067,2022,234,Yes,Yes,2,3,More career growth opportunities,Yes,2
1067,2023,235,No,No,3,3,Improved work-life balance,No,3
1068,2018,236,No,Yes,4,2,Improved work-life balance,No,4
1068,2019,237,No,No,1,3,More team collaboration opportunities,Yes,4
1068,2020,238,No,No,3,3,Better communication from management,No,5
1068,2021,239,Yes,Yes,4,2,Improved work-life balance,Yes,3
1068,2022,240,Yes,Yes,2,3,More training resources,Yes,5
1068,2023,241,No,No,1,5,More training resources,Yes,4
1071,2018,242,Yes,Yes,4,2,More career growth opportunities,Yes,2
1071,2019,243,No,Yes,1,1,Improved work-life balance,Yes,3
1071,2020,244,Yes,No,4,5,Better communication from management,No,4
1071,2021,245,Yes,Yes,5,3,More training resources,No,5
1071,2022,246,No,No,1,4,Better communication from management,No,5
1071,2023,247,No,No,1,3,Improved work-life balance,No,3
1072,2022,248,No,Yes,2,3,More team collaboration opportunities,Yes,5
1072,2023,249,Yes,No,2,1,More team collaboration opportunities,No,1
1073,2019,250,Yes,No,3,5,More training resources,Yes,4
1073,2020,251,No,No,2,2,More team collaboration opportunities,Yes,2
1073,2021,252,Yes,Yes,4,2,More team collaboration opportunities,Yes,2
1073,2022,253,No,Yes,4,5,More career growth opportunities,Yes,4
1073,2023,254,No,Yes,3,1,More career growth opportunities,No,2
1074,2022,255,No,No,1,2,More training resources,Yes,4
1074,2023,256,No,Yes,5,1,More career growth opportunities,Yes,2
1075,2020,257,No,Yes,5,5,More career growth opportunities,No,1
1075,2021,258,Yes,Yes,1,2,Improved work-life balance,No,5
1075,2022,259,No,Yes,1,1,Better communication from management,No,5
1075,2023,260,No,Yes,4,4,More career growth opportunities,Yes,1
1076,2022,261,No,Yes,1,5,More team collaboration opportunities,No,1
1076,2023,262,No,No,2,1,Improved work-life balance,No,1
1077,2019,263,Yes,Yes,4,2,More career growth opportunities,Yes,3
1077,2020,264,Yes,No,4,1,Improved work-life balance,No,1
1077,2021,265,Yes,Yes,5,3,More training resources,No,1
1077,2022,266,Yes,Yes,2,5,More team collaboration opportunities,No,2
1077,2023,267,No,Yes,1,1,More training resources,No,2
1078,2020,268,Yes,No,2,4,Better communication from management,Yes,2
1078,2021,269,No,No,1,2,More career growth opportunities,Yes,4
1078,2022,270,Yes,No,4,1,Improved work-life balance,Yes,3
1078,2023,271,Yes,Yes,2,4,More training resources,Yes,4
1079,2022,272,No,No,3,3,Better communication from management,No,3
1079,2023,273,Yes,Yes,5,5,More training resources,Yes,3
1080,2022,274,No,No,3,2,More training resources,Yes,5
1080,2023,275,No,No,4,3,Improved work-life balance,Yes,5
1081,2022,276,Yes,Yes,4,4,Better communication from management,No,2
1081,2023,277,No,No,2,3,More team collaboration opportunities,No,5
1082,2019,278,Yes,Yes,2,4,Better communication from management,No,4
1082,2020,279,Yes,No,2,5,More career growth opportunities,Yes,4
1082,2021,280,Yes,No,1,1,Better communication from management,No,5
1082,2022,281,Yes,Yes,2,5,More training resources,No,4
1082,2023,282,No,Yes,1,3,Better communication from management,No,2
1083,2019,283,No,No,3,5,More training resources,Yes,2
1083,2020,284,Yes,No,3,5,Improved work-life balance,No,3
1083,2021,285,Yes,Yes,1,2,Better communication from management,Yes,2
1083,2022,286,Yes,No,5,5,More team collaboration opportunities,Yes,5
1083,2023,287,No,Yes,3,4,Improved work-life balance,No,5
1084,2022,288,Yes,Yes,3,3,More team collaboration opportunities,Yes,2
1084,2023,289,Yes,No,2,5,Improved work-life balance,Yes,2
1085,2019,290,Yes,No,4,4,Better communication from management,Yes,3
1085,2020,291,No,No,4,5,More team collaboration opportunities,No,4
1085,2021,292,Yes,Yes,1,3,Better communication from management,No,5
1085,2022,293,Yes,No,5,2,More team collaboration opportunities,Yes,3
1085,2023,294,No,No,1,2,Better communication from management,No,4
1086,2019,295,No,Yes,2,5,More career growth opportunities,No,5
1086,2020,296,Yes,No,2,2,More training resources,Yes,2
1086,2021,297,Yes,No,3,3,More training resources,Yes,1
1086,2022,298,Yes,Yes,4,3,Improved work-life balance,Yes,5
1086,2023,299,No,Yes,2,2,More training resources,No,4
1087,2018,300,Yes,No,3,3,More career growth opportunities,No,3
1087,2019,301,Yes,No,2,1,More team collaboration opportunities,No,1
1087,2020,302,No,Yes,2,1,More team collaboration opportunities,No,5
1087,2021,303,Yes,Yes,1,4,More career growth opportunities,Yes,1
1087,2022,304,Yes,Yes,4,1,More team collaboration opportunities,Yes,4
1087,2023,305,No,Yes,5,4,More career growth opportunities,No,4
1088,2018,306,Yes,No,2,5,More training resources,Yes,2
1088,2019,307,Yes,No,3,1,Improved work-life balance,No,5
1088,2020,308,Yes,No,2,1,More team collaboration opportunities,No,1
1088,2021,309,No,No,2,2,More training resources,Yes,5
1088,2022,310,Yes,No,4,3,More training resources,No,1
1088,2023,311,Yes,No,4,5,Better communication from management,No,4
1089,2022,312,No,Yes,1,1,More training resources,Yes,2
1089,2023,313,No,Yes,2,2,Improved work-life balance,No,1
1090,2021,314,No,Yes,3,1,More training resources,Yes,1
1090,2022,315,No,Yes,1,3,Better communication from management,No,2
1090,2023,316,Yes,Yes,3,2,Improved work-life balance,No,3
1091,2022,317,No,Yes,5,5,More career growth opportunities,Yes,2
1091,2023,318,No,No,2,5,More team collaboration opportunities,No,1
1092,2021,319,Yes,No,2,4,Improved work-life balance,No,1
1092,2022,320,No,Yes,1,4,More team collaboration opportunities,Yes,5
1092,2023,321,No,Yes,3,1,Better communication from management,Yes,2
1093,2018,322,Yes,No,3,5,Improved work-life balance,No,5
1093,2019,323,Yes,Yes,3,2,More career growth opportunities,Yes,4
1093,2020,324,No,Yes,5,5,More team collaboration opportunities,Yes,5
1093,2021,325,Yes,Yes,5,3,Better communication from management,No,5
1093,2022,326,Yes,Yes,4,2,Better communication from management,Yes,5
1093,2023,327,Yes,No,4,2,Improved work-life balance,Yes,3
1094,2019,328,Yes,Yes,2,1,Improved work-life balance,No,2
1095,2021,329,Yes,No,1,3,More training resources,No,5
1095,2022,330,No,No,2,2,More team collaboration opportunities,Yes,4
1095,2023,331,No,Yes,1,3,Improved work-life balance,Yes,4
1096,2018,332,No,No,3,2,More career growth opportunities,Yes,3
1096,2019,333,Yes,Yes,3,3,Better communication from management,No,5
1096,2020,334,No,Yes,3,2,More training resources,No,3
1096,2021,335,Yes,Yes,4,3,Better communication from management,Yes,2
1096,2022,336,No,Yes,5,3,Improved work-life balance,Yes,4
1096,2023,337,No,Yes,4,5,Better communication from management,No,2
1097,2019,338,No,No,4,3,More training resources,No,4
1097,2020,339,Yes,Yes,1,4,More team collaboration opportunities,Yes,4
1097,2021,340,Yes,Yes,3,4,More career growth opportunities,Yes,3
1097,2022,341,No,Yes,1,1,More training resources,No,5
1097,2023,342,No,No,3,5,More career growth opportunities,Yes,5
1098,2018,343,Yes,Yes,5,5,More team collaboration opportunities,Yes,1
1098,2019,344,No,Yes,2,1,More team collaboration opportunities,Yes,4
1098,2020,345,No,Yes,4,2,Improved work-life balance,No,2
1098,2021,346,No,No,5,5,More training resources,No,4
1098,2022,347,Yes,Yes,2,3,More training resources,Yes,3
1098,2023,348,Yes,Yes,2,4,Better communication from management,No,4
1099,2022,349,Yes,No,5,2,Better communication from management,Yes,5
1099,2023,350,No,Yes,2,1,More training resources,No,2
1100,2022,351,No,Yes,5,4,Better communication from management,No,4
1100,2023,352,No,No,2,2,More team collaboration opportunities,Yes,3
1101,2018,353,No,No,2,2,Better communication from management,Yes,1
1102,2019,354,Yes,Yes,3,1,Improved work-life balance,Yes,5
1102,2020,355,No,No,5,3,Improved work-life balance,Yes,5
1102,2021,356,No,No,5,4,Improved work-life balance,Yes,3
1102,2022,357,No,Yes,1,1,Improved work-life balance,No,1
1102,2023,358,Yes,No,5,2,More training resources,No,1
1103,2018,359,No,No,1,1,Better communication from management,No,1
1103,2019,360,Yes,No,4,4,Improved work-life balance,No,3
1103,2020,361,No,Yes,4,2,More career growth opportunities,No,3
1103,2021,362,No,No,5,2,More training resources,No,5
1103,2022,363,Yes,No,3,1,Better communication from management,No,4
1103,2023,364,Yes,Yes,5,5,More career growth opportunities,No,1
1104,2020,365,No,Yes,4,1,More career growth opportunities,No,4
1104,2021,366,No,No,4,4,More training resources,Yes,1
1104,2022,367,No,Yes,1,2,More training resources,Yes,1
1104,2023,368,Yes,Yes,2,4,Better communication from management,No,4
1105,2018,369,No,Yes,2,5,Better communication from management,Yes,2
1105,2019,370,No,No,2,5,Improved work-life balance,No,3
1105,2020,371,No,Yes,2,1,More team collaboration opportunities,No,1
1105,2021,372,No,Yes,4,2,Improved work-life balance,Yes,1
1105,2022,373,Yes,No,5,1,More career growth opportunities,No,3
1105,2023,374,Yes,Yes,4,2,More career growth opportunities,Yes,5
1106,2018,375,No,No,3,4,More team collaboration opportunities,Yes,2
1106,2019,376,Yes,Yes,5,1,Better communication from management,Yes,4
1106,2020,377,Yes,Yes,4,2,Improved work-life balance,Yes,5
1106,2021,378,No,No,2,1,More team collaboration opportunities,Yes,1
1106,2022,379,Yes,No,1,4,More training resources,Yes,1
1106,2023,380,No,No,2,3,More training resources,Yes,3
1107,2021,381,No,Yes,5,2,Better communication from management,Yes,3
1107,2022,382,No,No,3,5,Improved work-life balance,Yes,2
1107,2023,383,Yes,Yes,3,3,Better communication from management,Yes,1
1108,2018,384,No,Yes,4,1,More team collaboration opportunities,Yes,5
1108,2019,385,Yes,No,1,5,Better communication from management,Yes,4
1108,2020,386,No,No,1,5,Better communication from management,No,2
1108,2021,387,No,Yes,3,2,More training resources,No,1
1108,2022,388,Yes,Yes,5,3,More training resources,No,4
1108,2023,389,No,No,4,2,Improved work-life balance,No,5
1109,2019,390,No,No,1,4,Improved work-life balance,Yes,3
1109,2020,391,No,Yes,4,1,Improved work-life balance,Yes,5
1109,2021,392,No,No,1,1,More team collaboration opportunities,Yes,2
1109,2022,393,No,No,3,2,Improved work-life balance,Yes,5
1109,2023,394,Yes,No,5,4,More career growth opportunities,Yes,5
1110,2020,395,Yes,Yes,2,2,Better communication from management,No,1
1110,2021,396,Yes,Yes,5,3,More training resources,Yes,3
1110,2022,397,No,Yes,2,2,Better communication from management,Yes,3
1110,2023,398,Yes,Yes,4,2,Better communication from management,Yes,4
1111,2018,399,No,No,2,3,Improved work-life balance,No,4
1111,2019,400,No,Yes,2,2,More training resources,No,2
1111,2020,401,Yes,No,5,4,More training resources,No,5
1111,2021,402,Yes,Yes,5,4,Improved work-life balance,Yes,1
1111,2022,403,Yes,Yes,3,3,More training resources,Yes,4
1111,2023,404,No,No,3,1,More career growth opportunities,No,4
1112,2018,405,No,Yes,3,2,More team collaboration opportunities,Yes,1
1112,2019,406,Yes,No,1,2,More career growth opportunities,No,5
1112,2020,407,Yes,No,5,2,Improved work-life balance,Yes,3
1112,2021,408,No,Yes,4,3,More training resources,No,4
1112,2022,409,Yes,Yes,2,3,Better communication from management,No,5
1112,2023,410,No,No,1,3,Improved work-life balance,No,3
1113,2021,411,Yes,No,2,3,More training resources,Yes,2
1113,2022,412,Yes,No,4,2,More career growth opportunities,Yes,4
1113,2023,413,No,Yes,1,2,Improved work-life balance,No,4
1114,2021,414,No,No,4,3,Improved work-life balance,No,1
1114,2022,415,Yes,No,3,4,Better communication from management,Yes,2
1114,2023,416,Yes,Yes,1,2,More team collaboration opportunities,Yes,1
1115,2020,417,No,No,1,2,More career growth opportunities,Yes,3
1115,2021,418,Yes,No,3,1,More training resources,No,2
1115,2022,419,No,No,2,1,More training resources,No,4
1115,2023,420,No,Yes,4,3,More training resources,Yes,1
1116,2021,421,Yes,No,4,5,More training resources,No,5
1116,2022,422,No,No,3,4,More career growth opportunities,No,3
1116,2023,423,Yes,No,3,5,More career growth opportunities,Yes,4
1117,2019,424,No,No,3,3,Improved work-life balance,No,3
1117,2020,425,No,Yes,3,4,More training resources,No,1
1117,2021,426,Yes,No,5,2,More team collaboration opportunities,Yes,3
1117,2022,427,No,Yes,2,1,More career growth opportunities,Yes,5
1117,2023,428,No,No,2,3,More training resources,Yes,2
1118,2020,429,No,Yes,1,1,More team collaboration opportunities,No,2
1118,2021,430,Yes,No,1,5,More team collaboration opportunities,No,1
1118,2022,431,Yes,No,2,3,Better communication from management,No,5
1118,2023,432,No,No,3,2,More team collaboration opportunities,Yes,1
1119,2018,433,No,No,4,1,More training resources,Yes,2
1119,2019,434,Yes,No,2,2,Improved work-life balance,No,4
1119,2020,435,No,Yes,5,3,More career growth opportunities,Yes,4
1119,2021,436,No,No,5,1,Improved work-life balance,Yes,4
1119,2022,437,Yes,Yes,5,3,Improved work-life balance,Yes,2
1119,2023,438,No,Yes,1,4,More career growth opportunities,No,3
1120,2021,439,No,Yes,1,5,Improved work-life balance,No,4
1120,2022,440,Yes,Yes,5,4,More team collaboration opportunities,Yes,3
1120,2023,441,No,Yes,5,3,Improved work-life balance,Yes,3
1121,2019,442,Yes,No,3,5,Better communication from management,Yes,4
1121,2020,443,No,Yes,2,3,More training resources,Yes,2
1121,2021,444,Yes,Yes,2,3,More team collaboration opportunities,No,3
1121,2022,445,No,No,1,1,More career growth opportunities,No,5
