Employee ID,Performance Review Year,Performance Rating,Projects Handled,Project Target,Working Hours,Overtime,Team Size,Potential Rating,Satisfaction Score,Incentive Amount ($),Bonus ($)
1014,2020,1,10,12,1845,12,1,Moderate,2,525.48,936.36
1014,2021,2,12,15,1678,152,5,Low,3,1347.58,1784.08
1014,2022,1,11,13,1952,181,10,High,1,665.0,1042.6
1015,2019,1,12,14,1625,86,17,Low,2,788.65,1129.05
1015,2020,4,10,14,1925,166,13,High,3,2427.9,3686.54
1015,2021,2,11,13,1577,76,10,High,2,1345.37,1802.96
1015,2022,1,10,11,2121,101,4,High,2,887.03,951.12
1016,2020,3,11,13,1974,33,19,Moderate,2,1815.0,2959.9
1016,2021,4,10,13,2044,64,13,Low,3,2012.72,3790.38
1017,2019,1,10,11,1860,213,19,Low,4,536.39,912.2
1017,2020,3,10,10,2197,114,20,Low,5,2284.68,3000.0
1017,2021,3,11,14,2275,127,20,High,5,2121.94,3270.79
1017,2022,1,10,14,2270,108,13,Low,4,700.27,770.57
1017,2023,4,11,12,2306,184,1,Moderate,5,3576.57,3791.71
1018,2018,2,11,15,2054,33,4,Moderate,5,1217.25,2007.32
1018,2019,2,10,10,1686,142,1,High,5,1375.57,2000.0
1018,2020,1,10,10,2138,41,4,High,3,878.58,1000.0
1018,2021,1,12,13,2031,300,15,High,2,765.81,1096.15
1018,2022,2,11,15,1744,215,11,Low,2,1183.53,2116.7
1018,2023,5,11,12,2311,74,7,High,5,3889.79,4691.0
1019,2021,4,11,14,1973,215,20,Moderate,5,2234.74,3481.46
1019,2022,1,10,15,2075,136,8,Moderate,2,639.61,694.33
1019,2023,4,12,13,2043,15,10,Low,5,3474.91,4460.37
1021,2021,4,10,15,2346,171,10,High,5,2049.17,3370.11
1021,2022,3,11,12,1867,70,4,Low,5,2146.0,2893.58
1021,2023,1,11,14,2330,119,5,Low,1,781.53,935.44
1022,2021,1,10,10,2212,47,12,High,1,776.02,1000.0
1022,2022,3,10,12,2018,81,11,Low,5,1847.47,2689.42
1022,2023,4,11,12,1973,235,11,Low,3,3272.77,3908.77
1023,2022,2,11,13,2311,144,20,Low,4,1370.69,1901.48
1023,2023,2,11,13,1881,68,14,High,5,1299.91,1874.86
1024,2021,1,12,13,1950,257,7,Moderate,2,689.78,954.2
1024,2022,4,10,15,1774,129,14,High,3,2404.61,2759.63
1024,2023,3,10,11,2297,177,7,High,4,2036.62,2871.62
1025,2019,4,10,10,1754,297,19,Moderate,5,2332.31,4000.0
1025,2020,1,10,10,1901,85,3,High,4,630.8,1000.0
1025,2021,2,12,12,1723,142,8,Low,4,1710.73,2238.87
1025,2022,3,10,10,1506,77,20,High,5,2904.14,3000.0
1025,2023,1,10,11,2146,45,8,Moderate,1,823.25,971.86
1026,2021,3,10,10,1725,13,2,Moderate,4,2546.22,3000.0
1026,2022,4,10,12,1489,30,8,Moderate,4,2381.49,3477.79
1026,2023,4,12,14,1974,190,14,High,5,2464.29,3756.45
1027,2018,4,10,10,2334,295,16,High,3,3295.96,4000.0
1027,2019,2,10,10,1756,211,20,Low,3,1069.08,2000.0
1027,2020,1,10,14,1838,84,12,Low,5,582.52,850.19
1027,2021,3,12,13,1858,284,8,High,2,1845.69,3231.03
1027,2022,1,11,11,2003,4,4,Low,2,912.92,1009.77
1027,2023,1,10,15,2002,98,6,Low,4,644.67,913.82
1028,2018,1,11,12,1986,76,16,Low,5,570.41,1046.2
1028,2019,3,10,10,2114,265,17,Moderate,5,2776.92,3000.0
1028,2020,2,10,11,2190,202,13,Moderate,3,1803.13,1898.48
1028,2021,3,10,11,2095,43,12,Moderate,2,1908.2,2989.79
1028,2022,2,10,15,1689,91,2,High,5,1209.67,1357.19
1028,2023,1,12,13,1554,129,20,High,1,611.85,981.33
1029,2022,1,10,11,2257,129,7,Moderate,1,616.1,925.82
1029,2023,2,10,10,1975,105,12,Low,5,1502.25,2000.0
1030,2021,2,10,10,2152,291,5,Low,5,1068.73,2000.0
1030,2022,2,10,10,2043,188,16,High,4,1314.85,2000.0
1030,2023,1,11,14,2160,64,2,Moderate,4,683.03,834.86
1031,2021,4,10,14,1699,24,18,Low,5,2125.73,3023.31
1031,2022,2,11,11,1577,77,8,High,4,1504.82,2181.66
1031,2023,1,10,10,1788,70,1,Moderate,5,873.85,1000.0
1032,2018,4,11,12,1905,277,3,Moderate,5,3429.38,3678.36
1032,2019,1,11,13,1943,237,15,Moderate,2,610.54,1007.93
1032,2020,4,10,11,2125,82,20,High,5,2108.57,3789.58
1032,2021,2,11,13,2016,211,16,Low,5,1249.27,1923.8
1032,2022,4,11,11,2000,272,13,Low,3,2466.98,4101.65
1032,2023,1,10,11,2083,131,15,Low,3,531.54,998.18
1033,2020,4,10,10,2290,176,10,Moderate,5,2869.29,4000.0
1033,2021,3,12,12,1936,170,13,High,3,1867.64,3295.88
1033,2022,4,12,13,1877,107,6,Moderate,5,3140.31,4676.23
1033,2023,1,11,15,2347,251,17,Moderate,2,581.55,814.1
1034,2021,3,11,14,1858,131,13,High,5,2232.1,2869.37
1034,2022,2,12,15,1858,30,7,Low,2,1387.93,2158.13
1034,2023,3,10,10,2104,137,13,Moderate,2,2084.99,3000.0
1035,2018,4,11,11,1776,100,1,Low,5,2596.93,4157.96
1035,2019,1,12,15,1848,148,20,High,5,790.05,1030.88
1035,2020,3,12,13,2014,234,5,High,3,2234.48,3543.67
1035,2021,2,10,10,1911,56,6,Moderate,5,1413.68,2000.0
1035,2022,2,11,13,2009,219,13,Moderate,3,1422.74,2162.62
1035,2023,4,10,10,1660,43,14,Moderate,4,2730.17,4000.0
1036,2022,4,12,12,2138,144,11,Low,5,3817.59,4631.7
1036,2023,4,11,13,1721,48,13,Moderate,4,3038.18,4099.83
1037,2020,1,10,15,2252,105,10,Low,1,560.3,721.22
1037,2021,2,12,14,2000,133,5,High,4,1309.03,2042.3
1037,2022,3,10,14,1769,60,14,High,5,1637.99,2371.61
1037,2023,1,12,12,1961,154,10,Moderate,3,814.68,1183.28
1038,2022,1,10,15,1844,59,7,Low,5,606.99,780.57
1038,2023,2,11,11,2215,111,18,Moderate,5,1207.51,2031.98
1040,2019,4,10,14,1903,120,6,High,3,2829.97,3385.52
1040,2020,2,10,10,1865,118,9,High,3,1274.05,2000.0
1040,2021,1,10,14,1390,14,14,High,2,513.27,738.42
1040,2022,2,10,14,1712,120,17,Low,5,1148.96,1753.49
1040,2023,1,10,12,2044,167,12,Low,5,592.78,835.74
1041,2021,1,11,15,1632,214,17,Low,4,550.79,784.96
1041,2022,1,12,13,1484,115,5,Low,1,674.12,1007.98
1041,2023,1,11,12,1898,265,2,Moderate,1,745.1,1078.79
1042,2020,1,12,13,1899,55,2,Moderate,1,921.09,979.18
1042,2021,2,10,10,1991,12,6,Low,4,1844.88,2000.0
1042,2022,1,12,15,1927,56,2,High,5,725.14,1111.08
1042,2023,1,10,15,1703,233,10,High,4,633.45,826.8
1043,2018,1,10,15,1837,250,19,High,2,504.16,824.21
1043,2019,1,10,10,1470,180,18,Low,1,955.98,1000.0
1043,2020,1,10,10,1777,254,11,Low,2,935.72,1000.0
1043,2021,1,10,10,2072,136,13,Low,1,962.62,1000.0
1044,2021,1,10,10,1768,248,12,High,1,912.34,1000.0
1044,2022,1,10,10,1876,164,13,Moderate,1,656.37,1000.0
1044,2023,3,10,10,1942,278,18,Low,5,2651.4,3000.0
1045,2022,1,10,10,1997,255,19,High,2,766.86,1000.0
1045,2023,1,12,12,1644,89,17,Moderate,1,974.14,1126.94
1046,2019,1,12,12,1989,291,12,Low,4,914.6,1105.81
1046,2020,4,12,15,2068,159,20,High,3,2594.03,3398.91
1046,2021,3,12,12,2212,119,3,High,5,1884.98,3416.2
1046,2022,4,12,12,1792,138,1,Low,5,2769.03,4009.66
1046,2023,2,11,12,1693,8,15,Moderate,5,1410.57,2019.32
1047,2018,2,10,10,1463,82,12,Moderate,3,1146.2,2000.0
1047,2019,4,11,11,1530,158,4,High,3,3790.95,4051.45
1047,2020,3,11,12,1914,189,3,Moderate,2,1768.29,3293.05
1047,2021,2,11,13,1708,81,11,High,3,1332.71,1847.4
1047,2022,1,10,15,1907,266,17,Moderate,1,590.17,775.91
1047,2023,4,10,14,1873,23,19,Low,3,2811.19,3510.8
1048,2019,1,10,10,1950,189,14,Low,1,907.0,1000.0
1048,2020,4,10,10,2108,279,5,Moderate,5,2427.17,4000.0
1048,2021,3,11,15,1992,84,19,Moderate,5,1742.92,3243.69
1048,2022,3,11,12,1696,15,8,High,4,1727.22,2938.4
1048,2023,2,10,11,2087,211,9,Low,2,1178.86,1822.89
1049,2018,4,11,12,2218,247,12,Low,3,2951.82,4298.39
1049,2019,1,11,13,2074,74,18,High,1,693.12,926.87
1049,2020,3,10,10,2055,130,18,Moderate,5,2853.16,3000.0
1049,2021,4,10,10,1747,27,18,Low,4,2346.55,4000.0
1049,2022,2,12,13,2148,226,18,Moderate,5,1372.36,1955.29
1049,2023,1,10,12,2066,79,17,High,5,808.02,924.86
1050,2020,4,10,10,1898,117,9,Moderate,3,3084.04,4000.0
1050,2021,3,11,11,1857,97,5,High,5,2287.44,3243.03
1050,2022,5,11,13,1925,253,20,Moderate,5,3634.96,4422.37
1050,2023,4,11,11,2033,271,6,Moderate,5,2952.94,4311.27
1051,2019,2,11,14,1954,189,14,Moderate,2,1502.32,1755.23
1051,2020,1,11,12,1924,104,3,High,2,693.38,983.14
1051,2021,1,10,11,1670,264,11,High,3,747.17,966.17
1051,2022,2,10,15,2262,92,4,Low,5,1220.63,1626.19
1051,2023,1,12,14,2128,42,19,High,3,764.42,1125.33
1052,2020,5,11,12,1922,165,11,Low,5,3032.74,4978.53
1052,2021,3,11,11,2063,132,12,Low,4,2272.15,3143.98
1052,2022,1,11,14,2070,260,13,Low,3,563.76,1088.27
1052,2023,1,12,13,1822,174,18,Moderate,2,674.55,1007.21
1053,2022,1,12,13,2106,168,13,Moderate,2,752.69,1170.82
1053,2023,3,11,12,2277,208,14,High,4,2579.71,3153.55
1054,2021,5,12,12,1926,27,15,Moderate,5,3997.99,5000.0
1054,2022,1,12,12,1986,201,20,High,5,907.52,1145.59
1054,2023,3,10,12,2142,134,10,Moderate,4,1985.56,2502.22
1056,2022,4,10,10,2199,234,18,Moderate,4,3683.54,4000.0
1056,2023,2,12,15,2029,215,20,Moderate,3,1347.14,2244.59
1057,2022,1,10,11,1967,297,2,High,2,906.28,964.42
1057,2023,1,11,15,2236,240,8,Low,1,665.99,862.25
1059,2021,1,12,15,1665,173,10,High,5,648.33,842.96
1059,2022,3,11,12,2152,145,16,Low,4,2679.52,3155.12
1059,2023,3,11,13,2044,20,16,Moderate,5,1839.35,2822.67
1060,2020,1,10,10,1811,70,14,Low,1,617.67,1000.0
1060,2021,2,10,11,1907,154,13,Moderate,5,1498.52,1949.18
1060,2022,3,10,12,2032,135,11,Low,4,2291.47,2574.09
1060,2023,1,11,11,1980,169,6,Moderate,4,954.39,1098.74
1061,2018,3,10,10,2162,104,9,High,3,2833.84,3000.0
1061,2019,1,10,11,1927,86,20,Low,4,775.56,995.01
1061,2020,2,12,12,1854,42,9,Moderate,4,1562.22,2207.92
1061,2021,1,10,10,1730,168,6,Moderate,2,634.96,1000.0
1061,2022,1,11,11,1626,188,18,Low,5,891.29,1036.6
1061,2023,2,10,11,2293,133,6,Moderate,5,1048.31,1908.75
1062,2022,2,12,15,2094,123,12,Low,4,1262.57,1749.27
1062,2023,1,10,15,1638,116,15,High,2,591.95,782.52
1063,2021,4,10,10,2232,128,6,Moderate,5,2012.77,4000.0
1063,2022,1,12,13,2118,104,4,Moderate,3,914.8,1000.92
1063,2023,1,10,13,1786,198,4,Moderate,2,616.68,975.31
1064,2021,1,10,12,1873,131,14,Moderate,2,753.58,894.81
1064,2022,2,11,14,2201,206,13,High,3,1293.57,1769.16
1064,2023,5,11,15,2232,188,20,Moderate,5,3260.79,4205.63
1065,2021,2,10,11,1547,124,15,Moderate,3,1206.59,1965.58
1065,2022,4,10,15,1954,86,4,Moderate,5,2540.65,3175.79
1065,2023,3,10,14,2188,250,12,Low,3,1838.35,2432.41
1066,2019,1,10,14,1770,27,9,High,3,596.21,811.76
1066,2020,5,11,13,2098,43,4,Low,5,3165.04,4292.77
1066,2021,4,12,13,1911,196,15,Low,5,3669.39,4722.62
1066,2022,3,11,13,2181,100,1,High,5,1693.63,2937.43
1066,2023,4,11,14,1785,43,16,High,3,2585.43,4209.59
1067,2021,1,12,13,1773,39,14,Moderate,4,861.24,1143.85
1067,2022,2,10,10,1959,269,5,High,5,1289.91,2000.0
1067,2023,2,10,11,1747,224,17,Moderate,3,1316.15,1951.79
1068,2018,1,11,11,1972,246,19,Moderate,1,920.16,1043.83
1068,2019,1,12,14,2272,193,3,High,5,840.92,1132.8
1068,2020,3,10,10,2090,73,19,Low,4,2965.64,3000.0
1068,2021,1,10,14,1576,290,15,Moderate,2,656.48,730.59
1068,2022,1,11,14,2093,197,8,Low,4,721.71,916.28
1068,2023,4,12,13,1762,233,17,High,5,3532.72,4170.41
1071,2018,4,10,10,1541,118,6,High,3,2005.06,4000.0
1071,2019,5,10,10,2033,209,1,High,3,3353.07,5000.0
1071,2020,1,11,11,1585,167,19,High,4,785.9,1025.26
1071,2021,4,12,15,1965,228,18,Moderate,5,2531.36,3228.07
1071,2022,2,10,10,2021,155,12,Moderate,2,1225.27,2000.0
1071,2023,1,10,11,1775,234,9,High,5,824.01,964.46
1072,2022,4,10,10,1666,136,4,High,5,3108.71,4000.0
1072,2023,1,10,13,1786,17,19,High,5,677.3,911.69
1073,2019,1,10,15,1701,275,13,Low,4,519.06,860.6
1073,2020,4,12,12,1819,2,11,Moderate,5,3450.37,4557.06
1073,2021,3,11,15,1459,193,18,Moderate,3,1653.54,2898.44
1073,2022,2,10,14,2094,88,11,High,5,1219.02,1627.76
1073,2023,2,10,10,1964,276,4,High,2,1780.89,2000.0
1074,2022,3,10,15,1624,130,19,Low,3,1610.77,2256.8
1074,2023,3,10,13,1787,186,18,High,4,2166.59,2976.82
1075,2020,3,12,12,2181,113,7,High,3,2958.5,3030.75
1075,2021,2,11,12,2000,63,17,High,4,1450.62,1894.96
1075,2022,1,12,15,1763,57,2,Low,2,761.72,987.16
1075,2023,4,10,10,2086,263,20,Moderate,5,3813.35,4000.0
1076,2022,3,11,15,1624,28,18,High,4,1922.55,2463.37
1076,2023,2,11,14,1574,23,14,Moderate,4,1241.49,1662.55
1077,2019,4,12,12,1719,144,14,Moderate,4,3080.11,4614.35
1077,2020,3,10,13,1834,107,15,Low,5,2101.09,2707.56
1077,2021,1,10,10,1908,297,17,High,4,689.09,1000.0
1077,2022,3,12,15,1841,79,3,Low,5,2014.3,2677.94
1077,2023,4,10,11,2108,43,2,Low,4,2742.95,3872.75
1078,2020,1,10,13,2143,29,19,Low,5,643.97,773.9
1078,2021,3,10,10,1798,89,4,Low,2,2930.39,3000.0
1078,2022,2,11,15,1660,144,1,Moderate,4,1459.33,1475.22
1078,2023,2,11,13,1777,257,10,Moderate,2,1469.63,1788.21
1079,2022,1,11,11,2159,140,11,Moderate,2,609.96,1047.85
1079,2023,2,10,10,2075,212,14,Low,4,1748.52,2000.0
1080,2022,4,10,10,2117,153,3,Moderate,4,2313.46,4000.0
1080,2023,5,12,12,2232,60,4,Moderate,5,3566.7,5000.0
1081,2022,4,12,14,2255,51,3,Low,5,2443.91,3645.82
1081,2023,2,10,12,2066,83,10,Low,5,1053.32,1980.44
1082,2019,3,10,10,1750,242,16,Moderate,5,2633.31,3000.0
1082,2020,3,10,11,1734,233,20,High,5,1536.21,2804.79
1082,2021,2,12,15,1777,134,9,Moderate,3,1398.5,2178.71
1082,2022,4,11,13,1903,165,17,Low,4,2983.05,4125.17
1082,2023,3,10,15,1722,27,5,High,4,1716.75,2741.87
1083,2019,4,12,13,2241,2,12,Moderate,4,3657.44,3974.74
1083,2020,3,11,11,1802,235,6,Moderate,4,2589.77,3176.9
1083,2021,1,11,14,2037,28,19,Moderate,1,629.28,794.3
1083,2022,5,10,14,1971,282,10,Moderate,5,2760.99,4915.16
1083,2023,2,11,11,1750,55,14,Moderate,3,1328.6,2079.67
1084,2022,3,10,11,1938,174,13,Moderate,5,2563.33,2815.45
1084,2023,3,11,13,1817,143,1,Low,5,1999.69,2548.23
1085,2019,2,10,14,2036,25,3,Low,4,1074.87,1607.36
1085,2020,1,12,12,1802,274,10,Moderate,2,602.5,1186.26
1085,2021,2,11,15,1898,112,9,Moderate,5,1419.79,2162.05
1085,2022,3,12,13,1922,88,2,Moderate,2,2412.65,2823.37
1085,2023,3,11,11,1797,37,5,Moderate,4,2298.39,3265.97
1086,2019,1,12,15,2021,16,2,Moderate,3,637.83,987.58
1086,2020,2,11,14,2273,199,2,Moderate,5,1384.02,1929.63
1086,2021,1,12,15,1718,266,6,Low,1,611.17,1088.29
1086,2022,1,10,12,1708,125,1,High,1,775.58,985.82
1086,2023,4,12,13,1729,102,17,Moderate,3,2436.69,4247.07
1087,2018,2,11,13,1668,247,5,Moderate,5,1345.49,2120.9
1087,2019,2,11,12,1998,74,19,High,3,1818.57,2145.84
1087,2020,5,11,12,1909,207,20,Low,5,4138.58,4725.38
1087,2021,2,10,12,2272,223,7,High,5,1381.18,1735.8
1087,2022,2,10,12,2080,52,14,Low,5,1378.37,1809.79
1087,2023,1,10,11,2199,291,14,Moderate,2,761.68,930.23
1088,2018,1,11,11,1513,242,3,High,3,595.99,1008.78
1088,2019,4,11,12,1932,14,12,Moderate,3,2775.84,4091.09
1088,2020,1,10,14,2174,141,12,Moderate,1,661.11,981.21
1088,2021,1,10,11,2168,27,4,High,2,512.54,965.25
1088,2022,1,10,10,2128,31,16,Low,4,524.12,1000.0
1088,2023,1,12,13,1868,83,4,Moderate,4,748.26,924.51
1089,2022,2,10,12,1867,195,1,High,5,1643.0,1905.9
1089,2023,1,10,11,2254,93,2,High,2,660.92,969.8
1090,2021,4,12,15,2216,61,5,Moderate,5,2526.65,3335.59
1090,2022,2,10,12,1937,151,16,Low,5,1324.64,1773.54
1090,2023,3,11,12,1683,147,8,Moderate,5,2709.5,3123.74
1091,2022,1,10,11,2012,288,4,High,5,658.23,962.32
1091,2023,3,11,13,1765,265,1,Low,4,2456.8,3097.83
1092,2021,1,11,12,1974,238,5,Low,5,673.84,1006.98
1092,2022,2,11,14,2055,169,12,Low,3,1395.48,1615.78
1092,2023,3,10,11,2243,198,4,Low,5,1570.03,2864.76
1093,2018,3,11,15,2181,113,9,High,5,2098.54,2302.07
1093,2019,4,12,14,2114,277,8,Low,4,2435.84,3614.73
1093,2020,4,11,14,2227,46,16,Low,5,2462.32,3457.94
1093,2021,3,10,10,1944,170,8,High,5,2875.02,3000.0
1093,2022,3,12,14,1818,133,4,High,2,2421.04,2890.92
1093,2023,4,10,10,2188,4,14,High,5,3959.98,4000.0
1094,2019,4,12,14,1858,276,10,Moderate,4,3408.39,4152.19
1095,2021,3,12,12,2250,219,11,High,2,1906.71,3018.46
1095,2022,3,12,14,2181,68,7,High,4,1912.15,2834.68
1095,2023,3,10,12,2246,194,18,Moderate,4,1608.94,2794.48
1096,2018,4,11,11,1748,54,16,Low,3,2876.91,4379.76
1096,2019,3,10,12,1798,118,1,High,2,1896.46,2849.45
1096,2020,2,10,14,1880,10,17,Low,3,1010.41,1822.88
1096,2021,4,12,14,2052,99,16,High,5,2623.8,4207.36
1096,2022,4,11,15,1871,192,10,Moderate,4,2848.09,3712.04
1096,2023,2,10,10,1910,245,6,Moderate,4,1436.91,2000.0
1097,2019,1,10,13,1704,291,7,Low,4,718.29,790.68
1097,2020,1,10,12,2058,121,6,Moderate,4,764.59,990.41
1097,2021,4,11,12,1884,10,19,High,5,3219.15,3765.32
1097,2022,3,11,12,2082,122,17,Low,4,1992.03,2835.82
1097,2023,4,11,14,1974,167,3,Low,4,2396.35,3540.72
1098,2018,2,12,13,1738,48,13,High,4,1336.69,2324.1
1098,2019,1,10,15,1668,82,9,High,1,518.88,827.6
1098,2020,2,12,14,1968,138,16,Moderate,3,1556.89,2375.13
1098,2021,3,11,14,1721,122,20,High,3,1866.48,3249.88
1098,2022,1,12,14,2091,87,18,Moderate,1,732.12,978.79
1098,2023,1,10,11,2082,232,9,Low,2,648.29,925.22
1099,2022,3,10,10,2008,191,2,High,5,2650.68,3000.0
1099,2023,1,12,13,1634,201,4,Moderate,5,821.75,1111.29
1100,2022,1,12,12,2314,173,3,Low,2,816.97,1193.09
1100,2023,2,10,15,1621,13,19,High,5,1322.7,1938.72
1101,2018,1,11,13,2121,101,19,Moderate,2,803.42,907.98
1102,2019,1,10,12,2033,43,8,High,1,515.18,965.15
1102,2020,1,11,12,1819,135,2,High,2,896.26,1064.1
1102,2021,2,11,14,1634,143,18,High,3,1503.46,1803.91
1102,2022,1,10,15,2195,208,18,Moderate,4,619.64,832.33
1102,2023,1,11,13,1864,151,2,High,4,759.66,921.02
1103,2018,1,12,14,1729,211,7,Low,1,733.93,950.04
1103,2019,1,10,10,2261,111,17,Low,5,676.87,1000.0
1103,2020,4,11,11,1874,164,16,Moderate,5,3198.58,4186.24
1103,2021,4,12,12,1920,296,3,Low,4,3096.19,4769.73
1103,2022,3,11,11,1855,20,8,Low,4,2509.36,3099.6
1103,2023,1,12,14,1657,132,14,Moderate,1,696.01,908.5
1104,2020,1,11,11,2106,50,16,Low,3,610.36,1017.6
1104,2021,4,11,11,2275,8,7,Moderate,5,2535.48,4184.24
1104,2022,3,10,10,2032,30,2,High,2,2509.17,3000.0
1104,2023,4,12,14,1774,42,15,High,5,2721.42,4176.54
1105,2018,2,11,14,2093,218,2,Low,5,1301.69,1622.35
1105,2019,1,11,11,2015,118,19,Moderate,2,834.16,1078.76
1105,2020,1,10,13,2194,236,9,High,4,612.19,970.5
1105,2021,4,10,13,1737,127,18,High,5,2430.87,3395.31
1105,2022,4,10,11,2169,129,19,Low,5,3403.69,3664.02
1105,2023,1,11,12,1836,247,16,Low,4,710.44,951.9
1106,2018,4,10,14,1559,73,3,Moderate,3,2729.33,3617.75
1106,2019,3,10,10,2273,223,3,High,3,1924.88,3000.0
1106,2020,1,11,12,2009,233,12,High,2,718.27,1095.53
1106,2021,4,12,15,2110,60,3,Moderate,3,3117.46,4186.45
1106,2022,1,10,10,1810,265,20,Moderate,3,636.76,1000.0
1106,2023,3,10,15,1556,121,8,Moderate,5,1591.6,2399.89
1107,2021,1,11,11,1833,133,2,Low,3,823.07,1025.38
1107,2022,3,12,15,2119,207,2,High,3,2313.08,2960.23
1107,2023,4,10,12,1785,78,1,High,4,3037.47,3617.41
1108,2018,1,11,12,1883,198,16,Low,4,911.93,1023.05
1108,2019,1,10,11,1677,162,4,High,4,626.97,944.32
1108,2020,2,11,14,2268,117,13,Low,5,1455.29,2153.37
1108,2021,4,11,13,1778,10,12,High,3,2433.16,3447.33
1108,2022,2,11,13,1795,26,18,Low,3,1612.57,1915.58
1108,2023,3,12,13,1989,162,3,Moderate,3,2006.1,3298.56
1109,2019,1,12,14,1709,29,8,High,5,664.15,1155.29
1109,2020,1,10,11,1986,172,20,Moderate,5,669.27,956.45
1109,2021,4,10,10,2224,223,15,Low,5,3035.98,4000.0
1109,2022,4,12,12,2039,155,11,High,5,2508.96,4720.62
1109,2023,4,11,11,1911,18,19,Low,3,2927.66,4149.37
1110,2020,4,11,11,2213,130,5,High,4,2372.35,4267.57
1110,2021,2,11,11,1814,248,1,High,4,1611.26,2096.16
1110,2022,2,11,13,1729,14,7,Moderate,3,1208.13,1875.53
1110,2023,4,10,11,2126,72,3,Moderate,3,2932.49,3785.56
1111,2018,3,10,11,2195,211,20,High,3,1509.3,2797.9
1111,2019,2,12,12,2027,244,13,Low,5,1523.56,2252.2
1111,2020,1,10,15,1928,59,18,Low,3,517.44,807.68
1111,2021,1,11,12,2236,242,20,Low,3,787.23,1084.43
1111,2022,3,10,14,2015,23,1,High,5,1786.44,2459.72
1111,2023,5,10,10,2221,142,1,Moderate,4,2748.66,5000.0
1112,2018,1,11,13,2041,181,11,Low,4,592.35,848.06
1112,2019,1,11,11,1519,145,2,Low,1,972.49,1001.65
1112,2020,1,10,11,2230,38,2,High,3,728.74,968.63
1112,2021,4,10,13,2031,42,4,Moderate,5,3006.12,3514.64
1112,2022,4,10,10,2128,67,6,High,5,3771.9,4000.0
